No;Provinsi;Jumlah Penduduk;Jumlah Kasus;Kepadatan Penduduk;Jumlah Banjir;Rasio GINI;Jumlah Faskes Pertama;Jumlah Faskes Lanjutan;Total Faskes;Jumlah Tenaga Medis Faskes;Persentase RT Akses Sanitasi Layak;log jml penduduk
1;Aceh;5459114;366;94;17;0,32;637;81;718;3428;77,55;6,737122164
2;Sumatera Utara;14954028;2918;210;7;0,31;1293;163;1456;7719;82,02;7,174758189
3;Sumtera Barat;5610859;654;133;6;0,3;578;73;651;3381;68,68;6,749029355
4;Riau;7066464;1038;73;5;0,33;220;68;288;4041;83,64;6,849202151
5;Jambi;3641279;357;74;1;0,32;367;35;402;1703;80,36;6,561253956
6;Sumatera Selatan;8702628;1135;99;3;0,34;865;79;944;3626;77,29;6,93965042
7;Bengkulu;2016437;628;101;1;0,32;339;26;365;907;79,81;6,304584658
8;Lampung;8609884;2271;265;1;0,31;643;72;715;2819;83,89;6,9349973
9;Kepulauan Bangka Belitung;1488245;864;88;0;0,25;138;24;162;829;92,24;6,172674432
10;Kepulauan Riau;2378795;1925;252;5;0,34;220;39;259;1636;91,62;6,376357017
11;DKI Jakarta;10645542;3092;17031;6;0,41;696;169;865;19318;95,17;7,027167778
12;Jawa Barat;50103251;23959;1302;29;0,41;3057;399;3456;20226;71,66;7,699865906
13;Jawa Tengah;34917040;4468;1087;14;0,37;3039;312;3351;15248;83,28;7,54303742
14;DI Yogyakarta;3970220;1186;1159;0;0,44;391;72;463;4321;97,12;6,598814573
15;Jawa Timur;40156672;6760;855;20;0,36;2731;378;3109;19290;80,97;7,603757713
16;Banten;13074189;2136;1286;13;0,36;680;102;782;6466;82,89;7,116414759
17;Bali;4466595;2673;765;0;0,38;656;70;726;5755;95,95;6,649976575
18;Nusa Tenggara Barat;5298471;2697;276;11;0,38;362;37;399;1684;82,85;6,724150562
19;Nusa Tenggara Timur;5588744;2538;110;7;0,34;635;51;686;1759;73,36;6,747314217
20;Kalimantan Barat;5162937;664;37;15;0,32;441;58;499;1654;78,39;6,712896826
21;Kalimantan Tengah;2722168;189;17;9;0,32;509;24;533;1126;73,77;6,434914924
22;Kalimantan Selatan;4319794;176;111;15;0,33;530;47;577;2138;81,43;6,635463037
23;Kalimantan Timur;3708936;2898;30;9;0,33;509;56;565;2812;89,77;6,569249339
24;Kalimantan Utara;721181;172;10;0;0,29;120;6;126;479;79,8;5,858044276
25;Sulawesi Utara;2530967;1196;183;1;0,36;445;53;498;2525;84,85;6,403286483
26;Sulawesi Tengah;3120863;671;50;2;0,33;319;35;354;1237;76,06;6,494274704
27;Sulawesi Selatan;8956181;3585;202;5;0,38;958;122;1080;4999;91,57;6,952122862
28;Sulawesi Tenggara;2743155;674;74;1;0,39;413;34;447;1041;85,62;6,438250348
29;Gorontalo;1195883;557;100;1;0,41;165;18;183;555;78,58;6,077688692
30;Sulawesi Barat;1396749;339;87;1;0,37;164;11;175;380;80,12;6,145118369
31;Maluku;1805376;169;41;1;0,32;281;29;310;931;76,77;6,256567665
32;Maluku Utara;1268866;318;40;1;0,28;206;17;223;591;77,11;6,10341576
33;Papua Barat;1008698;147;12;0;0,37;556;33;589;653;77,89;6,00376116
34;Papua;3438243;98;14;1;0,4;203;16;219;1310;40,81;6,536336567
